Name,Similar Movies
Jason X,"Jason Goes to Hell, Friday the 13th: The New Blood, Friday the 13th Part VIII: Jason Takes Manhattan, Friday the 13th Part VI: Jason Lives, Friday the 13th: A New Beginning, Freddy vs. Jason, Friday the 13th: Part 3, Friday the 13th: The Final Chapter, Friday the 13th Part 2, Friday the 13th, Friday the 13th, New Nightmare"
Space Jam: A New Legacy,"Space Jam, Scoob!, Tom & Jerry, Sonic the Hedgehog, Captain Underpants: The First Epic Movie, Sonic the Hedgehog 2, Looney Tunes: Back in Action, The SpongeBob Movie: Sponge on the Run, Minions: The Rise of Gru, The SpongeBob Movie: Sponge Out of Water, Minions, The Angry Birds Movie"
Ouija,"Ouija: Origin of Evil, Truth or Dare, Annabelle, Ouija, Insidious: Chapter 3, Ouija House, Insidious: The Last Key, Unfriended, Annabelle Comes Home, Insidious: Chapter 2, Sinister 2, Annabelle: Creation"
Friday the 13th Part VIII: Jason Takes Manhattan,"Friday the 13th: The New Blood, Friday the 13th Part VI: Jason Lives, Jason Goes to Hell, Friday the 13th: A New Beginning, Friday the 13th: Part 3, Friday the 13th: The Final Chapter, Jason X, Friday the 13th Part 2, Freddy vs. Jason, Friday the 13th, Friday the 13th, A Nightmare on Elm Street: The Dream Child"
Species II,"Species III, Species, Species: The Awakening, Ghosts of Mars, Mimic, Hollow Man, Wishmaster, Lifeforce, Leviathan, The Woods, Medinah, Maximum Risk"
Rings,"The Ring Two, Rings, The Ring, The Grudge 2, The Grudge 3, The Grudge, Annabelle, Annabelle Comes Home, Ringu, Ring 2, Annabelle: Creation, Before the Fall"
Skyline,"Beyond Skyline, Skylines, Vegas Skyline, Skyline: Warpath, Battle Los Angeles, The Darkest Hour, Battleship, Extinction, Blackened, Skylines, Skyline Radial, Sky Line"
Kangaroo Jack,"Kangaroo Jack: G'Day U.S.A.!, Cats & Dogs, Racing Stripes, The Shaggy Dog, Big Fat Liar, Herbie Fully Loaded, Spy Kids 3: Game Over, Snow Dogs, Spy Kids, Agent Cody Banks, Paul Blart: Mall Cop, Stuart Little"
xXx: State of the Union,"xXx, xXx: Return of Xander Cage, Xxx, G.I. Joe: The Rise of Cobra, G.I. Joe: Retaliation, The Scorpion King, Transporter 2, Transporter 3, XXX: According to Ice Cube, xXx: A Filmmaker's Diary, The Final Chapter: The Death of Xander Cage, Riddick"
The Butterfly Effect 2,"The Butterfly Effect 3: Revelations, The Butterfly Effect, Butterfly Effect, The Butterfly Effect, The Butterfly Effect: Director's Cut Ending, The Butterfly Effect, The Butterfly Effect: Happy Sappy Ending, The Butterfly Effect: Stalker Ending, The Butterfly Effect: Deleted and Alternate Scenes, The Final Destination, Lake Placid: Legacy, Anacondas: Trail of Blood"
Nutty Professor II: The Klumps,"The Nutty Professor, Norbit, Big Momma's House, Life, The Nutty Professor, Big Momma's House 2, Coming to America, Vampire in Brooklyn, Showtime, Holy Man, The Golden Child, Coming 2 America"
"Big Mommas: Like Father, Like Son","Are We There Yet?, Are We Done Yet?, College Road Trip, The Karate Kid, Paul Blart: Mall Cop, Alvin and the Chipmunks, Daddy Day Care, Dr. Dolittle 2, Rebound, Paul Blart: Mall Cop 2, Tooth Fairy 2, The Pacifier"
Movie 43,"A Million Ways to Die in the West, Scary Movie, Sausage Party, Scary Movie 4, EuroTrip, Scary Movie 2, Not Another Teen Movie, Borat, Afterschool, Scary Movie 3, The Speed of Life, The Fourth"
The Human Centipede (First Sequence),"The Human Centipede 2 (Full Sequence), The Human Centipede III (Final Sequence), A Serbian Film, Cannibal Holocaust, Hostel, Tusk, Martyrs, Hostel: Part II, Salò, or the 120 Days of Sodom, The Green Inferno, Tom Six and the Insanity of Making Another Movie, I Spit on Your Grave"
Basic Instinct 2,"Basic Instinct, Sliver, Basic Instinct 2: Deleted Scenes, Indecent Proposal, Unfaithful, Basic Instinct: Sex, Death & Stone, Save Me, Wild Things, Original Sin, Decoys 2: Alien Seduction, Wild Things: Diamonds in the Rough, Disclosure"
Spy Kids 3: Game Over,"Spy Kids 2: Island of Lost Dreams, Spy Kids, The Survival of Humanity, Spy Kids: Armageddon, The Adventures of Sharkboy and Lavagirl 3-D, Scooby-Doo, Sky High, Scooby-Doo 2: Monsters Unleashed, Stuart Little, Spy Kids: Mission Critical, Stuart Little 2, Alvin and the Chipmunks"
He's All That,"She's All That, The Perfect Date, The Kissing Booth, The Kissing Booth 2, The Kissing Booth 3, Work It, Sierra Burgess Is a Loser, To All the Boys: P.S. I Still Love You, After, To All the Boys: Always and Forever, #Realityhigh, After We Collided"
Cinderella,"The Beat Beneath My Feet, Cinderella, A Cinderella Story: If the Shoe Fits, Cinderella, Cinderella, A Cinderella Story: Christmas Wish, Beauty and the Beast, Aladdin, Descendants 2, The Princess Diaries, A Cinderella Story, Enchanted"
Supergirl,"Superman IV: The Quest for Peace, Superman III, Superman II, The Legend of Billie Jean, Superman, Supergirl: The Making of the Movie, Wonder Woman, Supergirl: Titans, Superman Returns, Superman II: The Richard Donner Cut, The Return of Swamp Thing, Supergirl: Woman of Tomorrow"
Alvin and the Chipmunks: Chipwrecked,"Alvin and the Chipmunks: The Squeakquel, Alvin and the Chipmunks: The Road Chip, Alvin and the Chipmunks, The Smurfs, The Smurfs 2, Garfield: The Movie, Garfield: A Tail of Two Kitties, Alvin & the Chipmunks, Hop, Smurfs: The Lost Village, Diary of a Wimpy Kid: Rodrick Rules, G-Force"
Escape Plan: The Extractors,"Escape Plan 2: Hades, Escape Plan, Rambo: Last Blood, Backtrace, The Expendables 3, The Expendables 2, The Expendables, Bullet to the Head, The Expendables 4, Mechanic: Resurrection, Rallying Cry, Rambo"
The Grudge,"The Grudge, The Grudge 2, The Grudge 3, The Grudge, Ju-on: The Grudge, The Ring Two, Rings, The Curse of La Llorona, Ju-On: The Grudge 2, Countdown, The Nun, Annabelle"
Cell,"A Good Marriage, 1408, Itsy Bitsy, Dreamcatcher, Thinner, Distorted, Daylight's End, The Cell, Pet Sematary, Nightmares & Dreamscapes: From the Stories of Stephen King, Sleepwalkers, Riding the Bullet"
Ultraviolet,"Æon Flux, Ultraviolet: Code 044, Resident Evil: Retribution, Resident Evil: Afterlife, Resident Evil: The Final Chapter, Monster Hunter, Resident Evil: Extinction, Resident Evil: Apocalypse, Resident Evil, Ultraviolet, Ultraviolet, Elektra"
LOL,"The Last Song, So Undercover, LOL (Laughing Out Loud), Picture This, The DUFF, If I Stay, Endless Love, Dear John, The Kissing Booth, The First Time, The Longest Ride, The Twilight Saga: Breaking Dawn - Part 1"
Bio-Dome,"Encino Man, Jury Duty, Son in Law, In the Army Now, Biodome, Pauly Shore Is Dead, Saving Silverman, Airheads, The Curse of Inferno, Biodome, Stealing Harvard, Coneheads"
Paul Blart: Mall Cop 2,"Paul Blart: Mall Cop, Zookeeper, Daddy's Home, Alvin and the Chipmunks, Tooth Fairy, The Smurfs, Daddy Day Care, Bedtime Stories, Mr. Bean's Holiday, Diary of a Wimpy Kid, Night at the Museum: Battle of the Smithsonian, The Pacifier"
Zoom,"The Shaggy Dog, Sky High, Agent Cody Banks, Agent Cody Banks 2: Destination London, RV, Zoom, G-Force, The Adventures of Sharkboy and Lavagirl 3-D, Fireflies, Spy Kids 3: Game Over, Inspector Gadget, Herbie Fully Loaded"
Stop! Or My Mom Will Shoot,"Oscar, The Specialist, Lock Up, Cobra, Over the Top, Tango & Cash, Judge Dredd, Assassins, Daylight, Cliffhanger, Rambo III, Get Carter"
The Last Thing He Wanted,"Girlfriend's Day, Deadly Illusions, Aloha, The Woman in the Window, Live with Kelly and Mark, Beckett, Ava, The Bad Guardian, Close, The Hustle, Serenity, Buried Alive and Survived"
Look Who's Talking Now,"Look Who's Talking Too, It Takes Two, Honey, I Blew Up the Kid, Beethoven, Three Men and a Baby, Beethoven's 2nd, Three Men and a Little Lady, Problem Child 2, Richie Rich, Father of the Bride Part II, Sister Act 2: Back in the Habit, My Girl 2"
Setup,"The Prince, Precious Cargo, Catch .44, Fire with Fire, Freelancers, Extraction, Seven Swords, Cop Out, Carlito's Way: Rise to Power, Max Payne, The Son of No One, Triple Threat"
Urban Legends: Final Cut,"Urban Legend, Urban Legends: Bloody Mary, Valentine, I Still Know What You Did Last Summer, Ghosts of Goldfield, Sorority Row, I Know What You Did Last Summer, Cry Wolf, Cherry Falls, Jason X, House III: The Horror Show, Halloween H20: 20 Years Later"
Police Academy 6: City Under Siege,"Police Academy 5: Assignment: Miami Beach, Police Academy 4: Citizens on Patrol, Police Academy: Mission to Moscow, Police Academy 3: Back in Training, Police Academy 2: Their First Assignment, Police Academy, Police Academy: The Series, Police Academy, The Naked Gun 2½: The Smell of Fear, Naked Gun 33 1/3: The Final Insult, Spy Hard, Hot Shots! Part Deux"
Getaway,"Born to Race: Fast Track, 2012 ESPY Awards, Born to Race, 2011 ESPY Awards, Embrace of the Vampire, Getaway, Arby's Action Sports Awards, Forget Me Not, Game Time, Awkward., Remember the Daze, The 2010 ESPY Awards"
Fantastic Four,"Fantastic Four, Fantastic Four: Rise of the Silver Surfer, X-Men: Dark Phoenix, Green Lantern, Ghost Rider, Daredevil, Ghost Rider: Spirit of Vengeance, Hulk, X-Men Origins: Wolverine, The Wolverine, The Fantastic Four: First Steps, X-Men: Apocalypse"
Ghost Rider: Spirit of Vengeance,"Ghost Rider, Ghost Rider, Fantastic Four: Rise of the Silver Surfer, Fantastic Four, Hulk, Daredevil, Green Lantern, Elektra, Ghost Riders, Fantastic Four, Blade: Trinity, Drive Angry"
Siberia,"Replicas, Exposed, Henry's Crime, Singularity, Knock Knock, Destination Wedding, Siberia, The Whole Truth, Man of Tai Chi, Extreme Pursuit, What Ever Happened to Aunt Alice?, Sweet November"
A Wrinkle in Time,"Artemis Fowl, A Wrinkle in Time, The House with a Clock in Its Walls, Into the Woods, Alice Through the Looking Glass, Ella Enchanted, Tomorrowland, Mirror Mirror, Coop and Cami Ask the World, The Princess Diaries 2: Royal Engagement, Oz the Great and Powerful, Beauty and the Beast"
The Legend of Hercules,"Hercules, Pompeii, Gods of Egypt, Wrath of the Titans, Immortals, The Eagle, Ninja, Green Street 3: Never Back Down, Ninja: Shadow of a Tear, Clash of the Titans, Savage Dog, The Great Wall"
Artemis Fowl,"Meg and Me, Scorch, Gloomy Eyes, Turner & Hooch, A Wrinkle in Time, Spice World, The House with a Clock in Its Walls, A Babysitter's Guide to Monster Hunting, The Witches, We Can Be Heroes, Dumbo, Ghostwriter"
Exposed,"Entering Red, Generation Um..., Siberia, Knock Knock, Replicas, Anabel, Corazón, Sergio, For a Handful of Kisses, Overdrive, Henry's Crime, The Night Clerk"
The Adventures of Rocky & Bullwinkle,"The Bullwinkle Show, Ed, Dudley Do-Right, Rocky and Bullwinkle, Cats & Dogs, The Adventures of Rocky and Bullwinkle, Beethoven's Big Break, Big Fat Liar, Yogi Bear, The Rugrats Movie, Casper Meets Wendy, The Lorax"
Yoga Hosers,"Tusk, The Black Ghiandola, R.P.G., Cannes Man, Donald Trump's The Art of the Deal: The Movie, Lucky Them, Puffins, Slow Burn, R.P.G. II, Dior: Sauvage - Legend of the Magic Hour, Moose Jaws, Small Moments"
The Bye Bye Man,"Wish Upon, Polaroid, Ouija, Amityville: The Awakening, Boogeyman, The Good Die Young, Countdown, Demonica's Reign, The Forest, Jessabelle, Chuck, Truth or Dare"
Cabin Fever 2: Spring Fever,"Cabin Fever 3: Patient Zero, Cabin Fever, Cabin Fever, Trigger Man, Cabin Fever, The Sacrament, The Roost, The Innkeepers, Christmas Decay, Joy Ride 2: Dead Ahead, Cabin Fever: Family Friendly Version, In a Valley of Violence"
Marmaduke,"Superbabies: Baby Geniuses 2, Cats & Dogs: The Revenge of Kitty Galore, Beverly Hills Chihuahua, Saving Christmas, Baby Geniuses, Hotel for Dogs, Son of the Mask, Marley & Me: The Puppy Years, Cats & Dogs, Show Dogs, Marley & Me, Family Camp"
Are We Done Yet?,"Are We There Yet?, The Longshots, Daddy Day Care, Big Mommas: Like Father, Like Son, College Road Trip, Cheaper by the Dozen, Cheaper by the Dozen 2, Like Mike, The Pacifier, Daddy Day Camp, Doctor Dolittle, RV"
Area 51,"Alien Abduction, Phoenix Forgotten, Paranormal Activity: The Chronology, 51, Extraterrestrial, Exists, The Phoenix Tapes '97, Paranormal Activity: The Ghost Dimension, Area 51 Confidential, The Gallows, Evidence, Chernobyl Diaries"
Fifty Shades of Grey,"Fifty Shades Darker, Fifty Shades Freed, Fifty Shades of Grey, 365 Days, After, 365 Days: This Day, After We Collided, Twilight, The Next 365 Days, The Twilight Saga: Breaking Dawn - Part 1, After We Fell, The Twilight Saga: Breaking Dawn - Part 2"
Norbit,"The Nutty Professor, Nutty Professor II: The Klumps, Little Man, Big Momma's House, White Chicks, Big Momma's House 2, Scary Movie 2, A Haunted House, Coming to America, A Thousand Words, Sextuplets, Scary Movie"
Super Mario Bros.,"The Super Mario Bros. Movie, Thomas & Friends: Misty Island Rescue, Wallace and Gromit's World of Invention, Teenage Mutant Ninja Turtles, The Super Mario Bros. Super Show!, Super Mario World, Hook, Teenage Mutant Ninja Turtles III, Space Jam, The Flintstones, Short Circuit, Who Framed Roger Rabbit"
Inspector Gadget,"Inspector Gadget 2, Inspector Gadget, George of the Jungle, Agent Cody Banks, Flubber, Doctor Dolittle, Air Bud, Cheaper by the Dozen, Spy Kids, Cats & Dogs, Inspector Gadget, Like Mike"
RoboCop 3,"RoboCop 2, RoboCop, RoboCop, RoboCop, RoboCop: Prime Directives, RoboCop, Robocop, Judge Dredd, RoboCop Returns, Predator 2, Demolition Man, Murder on the Cape"
Escape Room,"Escape Room, Escape Room, Escape Room: Tournament of Champions, No Escape Room, Follow Me, Countdown, The Crucifixion, Hostel: Part III, Elevator, Escape Room: The Lone Survivors, Truth or Dare, Escape: Puzzle of Fear"
Highlander II: The Quickening,"Highlander: The Final Dimension, Highlander: Endgame, Highlander, Highlander: The Source, Highlander, Highlander: The Raven, Highlander: The Search for Vengeance, Highlander, Highlander: The Gathering, Highlander: The Adventure Begins, Highlander: The Animated Series, Highlander 2"
Prisoners of the Ghostland,"Willy's Wonderland, Kill Chain, Mandy, Pig, Sympathy for the Devil, Color Out of Space, Grand Isle, The Old Way, Mom and Dad, Butcher's Crossing, Primal, The Retirement Plan"
Brazen,"Intrusion, The Weekend Away, Dangerous Lies, Secret Obsession, Hypnotic, Fatal Affair, Locked In, Faithfully Yours, Tempting Fate, A Fall from Grace, Who Are You People, Loving Adults"
A Sound of Thunder,"Beyond White Space, Retroactive, Virus, Epoch, The Creature Below, The Time Machine, Very Frightening Tales, Doom, Arachnid, Skyline, The Sound of Thunder, The Lost World"
Ghoulies,"Ghoulies II, Ghoulies Go to College, Ghoulies IV, Ghoulies: From Toilets to Terror - The Making of Ghoulies, Troll, Critters, Critters 2: The Main Course, Class of Nuke 'Em High, Demonic Toys, House, Critters 3, TerrorVision"
Superfast!,"Meet the Spartans, The Starving Games, Vampires Suck, Superhero Movie, Epic Movie, Date Movie, Stan Helsing, Disaster Movie, Best Night Ever, Scary Movie 4, Scary Movie V, Super fast"
Boogeyman,"Boogeyman 2, Boogeyman 3, The Boogeyman, Boogey-Man, The Boogey Man, The Boogeyman, Messengers 2: The Scarecrow, Boogeyman, Darkness Falls, The Grudge 2, Unrest, Urban Legends: Final Cut"
V/H/S Viral,"V/H/S/2, V/H/S/94, V/H/S/99, V/H/S, V/H/S/85, V/H/S, V/H/S/Beyond, Siren, V/H/S/23, VHS, Grave Encounters 2, Hell House LLC II: The Abaddon Hotel"
Universal Soldier: The Return,"Universal Soldier: Regeneration, Universal Soldier: Day of Reckoning, Universal Soldier, Replicant, Inferno, Legionnaire, Derailed, The Hard Corps, Maximum Risk, Knock Off, Double Team, Double Impact"
Devil's Due,"The Gallows, The Other Side of the Door, The Devil's Due, Appendage, The Atticus Institute, Southbound, Lovely Molly, The Houses October Built, Grimcutty, Matriarch, The Possession of Michael King, Mr. Jones"
The Gallows,"The Gallows Act II, Devil's Due, Willow Creek, Initiation Night, Unfriended, Phoenix Forgotten, The Lazarus Effect, The Houses October Built, Evidence, Exists, Grave Encounters 2, Paranormal Activity: The Marked Ones"
The Devil Inside,"Sparkle and Charm, Wer, Separation, The Devil Inside, Brahms: The Boy II, Stay Alive, Lord of Misrule, The Last Exorcism, The Boy, Orphan: First Kill, The Devil Inside, The Devil Inside Me"
The Patriot,"Fire Down Below, On Deadly Ground, The Glimmer Man, Exit Wounds, Belly of the Beast, Marked for Death, Into the Sun, Half Past Dead, Hard to Kill, Out for Justice, Out of Reach, Out for a Kill"
Vice,"The Prince, Fire with Fire, Once Upon a Time in Venice, Extraction, Marauders, Precious Cargo, Trauma Center, Apex, Reprisal, Deadlock, Acts of Violence, Cosmic Sin"
Street Fighter,"Double Team, Double Impact, Kickboxer, Mortal Kombat, Street Fighter: The Legend of Chun-Li, Timecop, Lionheart, Bloodsport, Nowhere to Run, The Quest, Universal Soldier, Sudden Death"
The Cat in the Hat,"How the Grinch Stole Christmas, Scooby-Doo, Alvin and the Chipmunks, The Lorax, Bee Movie, Monster House, The SpongeBob SquarePants Movie, Chicken Little, Diary of a Wimpy Kid, Matilda, The Cat in the Hat, Charlotte's Web"
Jason Goes to Hell,"Friday the 13th Part VIII: Jason Takes Manhattan, Friday the 13th: The New Blood, Jason X, Friday the 13th: A New Beginning, Friday the 13th Part VI: Jason Lives, Friday the 13th: Part 3, Friday the 13th: The Final Chapter, Friday the 13th Part 2, Freddy vs. Jason, Friday the 13th, Friday the 13th, Freddy's Dead: The Final Nightmare"
Zombie Strippers!,"Zombies Vs. Strippers, House of the Dead 2, Trailer Park of Terror, Dinoshark, Feast II: Sloppy Seconds, Lake Placid 2, Zombies! Zombies! Zombies!, Dinocroc vs. Supergator, Open Graves, Camel Spiders, Bones, Sky Sharks"
Torque,"Biker Boyz, Redline, Torque, xXx: State of the Union, Bodied, Supercross, xXx, The Dukes of Hazzard, Stone Cold, Driven to Kill, Ick, Detention"
Wounds,"Things Heard & Seen, The Open House, The Perfection, Rattlesnake, The Privilege, Eli, The Nowhere Inn, No One Gets Out Alive, Don't Listen, The Conference, Our Friend, The Old Ways"
Shark Night,"Bait, Shark Bait, 47 Meters Down: Uncaged, The Reef, Shark Night, Piranha 3D, 47 Meters Down, Deep Blue Sea, Deep Blue Sea 2, Great White, Anacondas: The Hunt for the Blood Orchid, Red Water"
Beowulf,"Beowulf & Grendel, Beowulf, Highlander: Endgame, Beowulf, Mean Guns, Knights, Fanfan, Highlander II: The Quickening, Beowulf: Prince of the Geats, Gunmen, Beowulf, Eye See You"
Extraction,"The Prince, Scorched Earth, First Kill, In the Blood, Precious Cargo, Reprisal, Vice, Fire with Fire, Marauders, Extraction, I Am Wrath, Extraction"
Mr. Magoo,"Family Plan, My Favorite Martian, Inspector Gadget, Man of the House, Rent-a-Kid, Mr. Magoo, Safety Patrol, The Famous Adventures of Mr. Magoo, Inspector Gadget 2, Tom and Huck, That Darn Cat, Recess: School's Out"
The Apparition,"I'm Not Here, Political Animals, Labyrinth, The Magic of Passion, One Missed Call, Apparition, Forget Me Not, Monday, Red Doors, The Apparition, Shutter, Gorgeous Vortex"
Bats,"Python, King Cobra, Spasms, Todesvisionen - Geisterstunde, The Legend of Snow White, Aberration, Bats: Human Harvest, Strays, Welcome to Paradise, Boa, Black Light, Writer's Block"
Thugs of Hindostan,"Dhoom 3, Secret Superstar, Laal Singh Chaddha, Koi Jaane Na, Salaam Venky, Ghajini, Fanaa, Bharat, Talaash: The Answer Lies Within, PK, Golmaal Again, Tiger Zinda Hai"
Madame Web,"Aquaman and the Lost Kingdom, Morbius, Anyone But You, Ghostbusters: Frozen Empire, The Marvels, Atlas, Damsel, Argylle, Blue Beetle, Godzilla x Kong: The New Empire, Uglies, Americana"
The Last Airbender,"Avatar: The Last Airbender, Wide Awake, Avatar: The Last Airbender, Eragon, Megamind vs. The Doom Syndicate, The Legend of Korra, The Golden Compass, Percy Jackson: Sea of Monsters, Percy Jackson & the Olympians: The Lightning Thief, Journey to the Center of the Earth, The Spiderwick Chronicles, The Chronicles of Narnia: Prince Caspian"
They/Them,"Swallowed, Sick, You Should Have Left, Thanksgiving, The Watchers, Have You Seen My Glasses?, Gone in the Night, Night Swim, You're Not Alone, Salem's Lot, It's a Wonderful Knife, Prey for the Devil"
Book of Shadows: Blair Witch 2,"Blair Witch, Shadow of the Blair Witch, Curse of the Blair Witch, The Blair Witch Project, The Blair Witch Legacy, Grave Encounters 2, Paranormal Activity: The Marked Ones, Jeepers Creepers, Paranormal Activity, Creepshow, Paranormal Activity 3, A Nightmare on Elm Street 2: Freddy's Revenge"
Speed 2: Cruise Control,"Speed, Ballistic: Ecks vs. Sever, Stan Helsing, Street Fighter: The Legend of Chun-Li, The Hungover Games, Miss Congeniality 2: Armed & Fabulous, Bucky Larson: Born to Be a Star, The Net, In the Name of the King: A Dungeon Siege Tale, I Know Who Killed Me, The Love Guru, Dragon Wars: D-War"
One Missed Call,"The Messengers, One Missed Call, The Unborn, When a Stranger Calls, Prom Night, Shutter, Messengers 2: The Scarecrow, The Eye, The Grudge, Mirrors, Black Christmas, The Haunting in Connecticut"
Kisi Ka Bhai Kisi Ki Jaan,"Shehzada, Mission Majnu, Ittu Si Baat, Chatrapathi, Selfiee, Lakadbaggha, Ek Villain Returns, Salaam Venky, Kuttey, Cirkus, Tiku Weds Sheru, Bheed"
The Guardians,"Mafia: Game of Survival, Coma, Cosmoball, Attraction, Invasion, Max Steel, Guardians, The Guardians, Panfilov's 28 Men, Death Race 4: Beyond Anarchy, Gogol. Nachalo, Crimea"
Material Girls,"The Perfect Man, Raise Your Voice, The Lizzie McGuire Movie, Lizzie McGuire, A Cinderella Story, Cadet Kelly, Casper Meets Wendy, Agent Cody Banks, Cheaper by the Dozen 2, Get a Clue, New York Minute, Confessions of a Teenage Drama Queen"
The Last Exorcism Part II,"The Last Exorcism, The Last Exorcist, Grand Piano, The Vatican Tapes, Guy and Madeline on a Park Bench, Dominion: Prequel to the Exorcist, Devil's Due, Exorcist: The Beginning, The Possession of Michael King, Brahms: The Boy II, Hostel: Part III, The Exorcism of Molly Hartley"
The Turning,"The Goldfinch, The Turning, The Legend of Lake Hollow, Annabelle Comes Home, Haunt, It Chapter Two, It, The Haunting in Connecticut 2: Ghosts of Georgia, The Unholy, Mara, Our Ladies, The Turning"
Halloween: Resurrection,"Halloween H20: 20 Years Later, Halloween: The Curse of Michael Myers, Halloween 5: The Revenge of Michael Myers, Halloween 4: The Return of Michael Myers, Halloween II, Halloween Kills, Halloween II, Halloween III: Season of the Witch, Halloween, Halloween, Halloween Ends, Halloween"
Escape Plan 2: Hades,"Escape Plan: The Extractors, Escape Plan, The Expendables 3, Rambo: Last Blood, The Expendables 2, The Expendables, Backtrace, The Mechanic, The Expendables 4, Mechanic: Resurrection, Bullet to the Head, Rambo"
Double Dragon,"Only the Strong, Street Fighter, Suburban Commando, The Redemption: Kickboxer 5, Double Dragon: Renegade, Spawn, Battle of the Damned, Mortal Kombat: Annihilation, Masters of the Universe, Iceman, No Holds Barred, Thunder in Paradise"
Holmes & Watson,"Get Hard, The House, The Campaign, Eurovision Song Contest: The Story of Fire Saga, Daddy's Home 2, Anchorman 2: The Legend Continues, Land of the Lost, Talladega Nights: The Ballad of Ricky Bobby, Step Brothers, Casa de mi Padre, Semi-Pro, David"
The Adventures of Pluto Nash,"Holy Man, I Spy, Showtime, Nutty Professor II: The Klumps, Vampire in Brooklyn, Metro, The Golden Child, The Nutty Professor, Life, A Thousand Words, Earth vs. the Spider, The Distinguished Gentleman"
London Fields,"In the Fire, Syrup, I Do... Until I Don't, Gully, One More Time, Her Smell, The Adderall Diaries, The Rum Diary, All the Boys Love Mandy Lane, The Playboy Club, The Prince, The River Why"
Jeepers Creepers III,"Jeepers Creepers 2, Jeepers Creepers: Reborn, Jeepers Creepers Returns, Jeepers Creepers, A Maldição Do Nevoeiro, Sexta-Feira 13 - A Vingança De Jason, The Exterminator: Don Teschio's Revenge, Aliens the Awakening, O Estranho Habitante: The Strange Inhabitant, The Secret of the Djinn, Friday the 13th: The New Blood, Jeepers Creepers"
Plan 9 from Outer Space,"Bride of the Monster, Glen or Glenda, Night of the Ghouls, Jail Bait, Ed Wood, Plan 9, The Brain That Wouldn't Die, Vampira Returns, The Vampira Show, Plan 9.1 from Outer Space, Frankenstein, The Devil Bat"
The Disappointments Room,"Margaux, The Possession, 8 Found Dead, Ghost Ship, Time Cut, Don't Move, The Deliverance, The Cuckoo, Baghead, The Lazarus Effect, Carnifex, Skinwalker Ranch"
Prom Night,"When a Stranger Calls, Prom Night, Black Christmas, One Missed Call, The Roommate, Sorority Row, Valentine, Obsessed, Urban Legend, Prom Night, I Still Know What You Did Last Summer, Cry Wolf"
Beverly Hills Chihuahua,"Beverly Hills Chihuahua 2, Beverly Hills Chihuahua 3: Viva La Fiesta!, Underdog, Treasure Buddies, Cats & Dogs: The Revenge of Kitty Galore, Santa Buddies, Hotel for Dogs, Snow Buddies, Air Buddies, Chihuahua: The Movie, Cats & Dogs, Marmaduke"
You Got Served,"Stomp the Yard, You Got Served: Beat the World, Drumline, Johnson Family Vacation, Roll Bounce, You Got Served, Take It to the Streets, Love Don't Cost a Thing, Waist Deep, Lottery Ticket, Step Up 2: The Streets, Mr. 3000, Honey 2"
